iter	Passed	Remaining
579	33884	24537
580	33932	24470
581	33984	24408
582	34035	24344
583	34091	24284
584	34150	24226
585	34212	24170
586	34266	24109
587	34318	24046
588	34373	23985
589	34428	23924
590	34491	23869
591	34563	23820
592	34622	23762
593	34682	23705
594	34742	23648
595	34799	23588
596	34852	23527
597	34917	23472
598	34976	23414
599	35031	23354
600	35083	23291
601	35138	23231
602	35199	23174
603	35258	23116
604	35304	23049
605	35362	22991
606	35420	22932
607	35469	22868
608	35530	22811
609	35581	22748
610	35634	22687
611	35696	22631
612	35751	22570
613	35806	22510
614	35852	22444
615	35903	22381
616	35957	22320
617	36013	22260
618	36073	22203
619	36135	22147
620	36187	22085
621	36234	22020
622	36293	21962
623	36368	21914
624	36414	21848
625	36470	21789
626	36526	21729
627	36576	21666
628	36635	21608
629	36697	21552
630	36749	21490
631	36801	21428
632	36860	21370
633	36916	21311
634	36971	21251
635	37034	21195
636	37093	21137
637	37149	21078
638	37203	21018
639	37296	20979
640	37356	20921
641	37403	20857
642	37466	20801
643	37520	20741
644	37585	20686
645	37642	20627
646	37698	20567
647	37750	20506
648	37803	20445
649	37866	20389
650	37929	20334
651	37992	20278
652	38049	20219
653	38108	20161
654	38179	20109
655	38235	20050
656	38287	19989
657	38345	19930
658	38404	19872
659	38463	19814
660	38520	19755
661	38572	19694
662	38630	19635
663	38687	19577
664	38737	19514
665	38798	19457
666	38857	19399
667	38916	19341
668	38976	19284
669	39044	19231
670	39098	19170
671	39153	19110
672	39211	19052
673	39264	18991
674	39324	18934
675	39382	18875
676	39431	18813
677	39481	18751
678	39542	18693
679	39602	18636
680	39659	18577
681	39715	18518
682	39778	18462
683	39842	18406
684	39892	18344
685	39959	18290
686	40006	18227
687	40065	18169
688	40113	18106
689	40171	18047
690	40239	17994
691	40298	17936
692	40357	17878
693	40414	17819
694	40478	17763
695	40534	17704
696	40605	17652
697	40666	17595
698	40726	17537
699	40784	17479
700	40851	17424
701	40910	17366
702	40973	17310
703	41033	17252
704	41107	17201
705	41163	17141
706	41221	17083
707	41283	17026
708	41343	16969
709	41402	16910
710	41459	16851
711	41513	16791
712	41567	16731
713	41627	16674
714	41691	16618
715	41760	16564
716	41827	16509
717	41885	16450
718	41944	16392
719	42005	16335
720	42064	16277
721	42121	16218
722	42176	16158
723	42234	16100
724	42291	16041
725	42358	15986
726	42406	15924
727	42467	15866
728	42526	15808
729	42583	15750
730	42650	15694
731	42710	15637
732	42764	15577
733	42830	15521
734	42890	15463
735	42952	15406
736	43012	15349
737	43073	15291
738	43138	15235
739	43198	15177
740	43259	15120
741	43317	15061
742	43376	15003
743	43436	14946
744	43496	14888
745	43579	14838
746	43633	14778
747	43695	14720
748	43748	14660
749	43797	14599
750	43842	14536
751	43901	14477
752	43951	14417
753	44012	14359
754	44068	14300
755	44131	14243
756	44190	14185
757	44239	14124
758	44286	14062
759	44343	14003
760	44397	13943
761	44454	13884
762	44512	13826
763	44568	13767
764	44610	13703
765	44667	13645
766	44716	13584
767	44766	13523
768	44818	13463
769	44876	13404
770	44934	13346
771	44991	13287
772	45048	13228
773	45102	13169
774	45159	13110
775	45214	13051
776	45269	12992
777	45337	12936
778	45389	12876
779	45447	12818
780	45507	12760
781	45559	12700
782	45612	12641
783	45672	12583
784	45732	12525
785	45792	12467
786	45848	12408
787	45906	12350
788	45958	12290
789	46017	12232
790	46074	12173
791	46131	12115
792	46200	12059
793	46253	12000
794	46300	11939
795	46346	11877
796	46406	11820
797	46468	11762
798	46524	11703
799	46594	11648
800	46646	11588
801	46702	11530
802	46753	11470
803	46811	11411
804	46873	11354
805	46937	11297
806	47004	11241
807	47077	11186
808	47141	11129
809	47203	11072
810	47256	11013
811	47315	10954
812	47372	10896
813	47424	10836
814	47487	10779
815	47551	10722
816	47607	10663
817	47668	10605
818	47727	10547
819	47780	10488
820	47830	10428
821	47885	10369
822	47941	10310
823	48010	10254
824	48069	10196
825	48124	10137
826	48179	10078
827	48237	10020
828	48290	9961
829	48352	9903
830	48410	9845
831	48472	9787
832	48535	9730
833	48592	9671
834	48647	9612
835	48703	9554
836	48758	9495
837	48818	9437
